category,axis,count,mean,median,p05,p10,p25,p75,p90,p95,min,max,is_unreliable
napkin_and_napkin_holders,depth_cm,4,16.88,17.25,11.68,12.35,14.38,19.75,21.1,21.55,11,22,true
napkin_and_napkin_holders,height_cm,4,12.62,14.5,6.35,7.7,11.75,15.38,16.05,16.27,5,16.5,true
napkin_and_napkin_holders,width_cm,4,11.25,8.75,5.65,5.8,6.25,13.75,18.7,20.35,5.5,22,true
officelegs,depth_cm,12,133.33,143,106,107.4,124.5,146,146,146,106,146,true
officelegs,height_cm,12,67.08,65,62.75,65,65,67,75.7,76,60,76,true
officelegs,width_cm,12,66.83,53,46,46,46,74.25,96,115.8,46,140,true
ovens,depth_cm,12,55.63,55.25,55,55,55,56.17,56.7,56.7,55,56.7,true
ovens,height_cm,12,59.25,59.5,58.9,58.9,58.9,59.5,59.5,59.5,58.9,59.5,true
ovens,width_cm,12,59.46,59.5,59.4,59.4,59.4,59.5,59.5,59.5,59.4,59.5,true
ovenware,depth_cm,8,30.44,30,25.02,25.55,26,33.25,35.8,37.9,24.5,40,true
ovenware,height_cm,8,6.19,6,5.5,5.5,5.88,6.62,7,7,5.5,7,true
ovenware,width_cm,8,24.31,24,20.35,20.7,22.5,24.88,27.8,29.9,20,32,true
physicalplay,depth_cm,1,73,73,73,73,73,73,73,73,73,73,true
physicalplay,height_cm,1,52,52,52,52,52,52,52,52,52,52,true
physicalplay,width_cm,1,29,29,29,29,29,29,29,29,29,29,true
plant_pots,depth_cm,5,40.2,51,19.2,22.4,32,51,51,51,16,51,true
plant_pots,height_cm,5,12.8,12,12,12,12,13,14.2,14.6,12,15,true
plant_pots,width_cm,5,17.6,19,15.2,15.4,16,19,19,19,15,19,true
platsa_combinations,depth_cm,62,49.4,55,40,40,42,57,57,57,36,61,false
platsa_combinations,height_cm,62,160.6,181,13.1,40,114.75,231,241,251,5,281.1,false
platsa_combinations,width_cm,62,146.61,140,54.11,60,73.8,220,260,299,7.4,340,false
rack,depth_cm,12,42,35.5,28.75,31.1,32,53.25,60,61.35,26,63,true
rack,height_cm,12,113.08,138.5,20.95,25,31,193,193,193,16,193,true
rack,width_cm,12,79.5,79,60,60,62.25,90,98.1,104.4,60,111,true
roleplay,depth_cm,5,35.6,37,21.2,23.4,30,40,47.2,49.6,19,52,true
roleplay,height_cm,5,59.6,50,14.8,18.6,30,98,104.6,106.8,11,109,true
roleplay,width_cm,5,46,49,21.6,25.2,36,55,65.2,68.6,18,72,true
serveware,depth_cm,6,49.67,56,28,36,53,56,57,57.5,20,58,true
serveware,height_cm,6,22.25,25.75,10,15,25.12,26,26,26,5,26,true
serveware,width_cm,6,34.67,36,30,31,33.75,36,37,37.5,29,38,true
shades_bases_cords,depth_cm,11,21.73,20,14,15,15,26.5,30,32.5,13,35,true
shades_bases_cords,height_cm,11,25.45,20,16.5,18,19,32,35,40,15,45,true
shades_bases_cords,width_cm,11,21.73,20,14,15,15,26.5,30,32.5,13,35,true
shelf,depth_cm,84,30.68,31,17,20,27,36.25,37,40,10,50,false
shelf,height_cm,84,149.79,173,35.75,53.3,115.5,193,198.4,202,21,214,false
shelf,width_cm,84,78.49,63,30,37.9,42,97,120,201.7,20,236,false
showeraccessories,depth_cm,7,14.34,13,9.02,10.04,11.7,18,19.4,19.7,8,20,true
showeraccessories,height_cm,7,18.29,14,6,6,8,17,33.4,45.7,6,58,true
showeraccessories,width_cm,7,22.3,24.1,9.9,13.8,21.5,26.5,28.8,29.4,6,30,true
showers,depth_cm,2,57.5,57.5,57.05,57.1,57.25,57.75,57.9,57.95,57,58,true
showers,height_cm,2,116.5,116.5,116.05,116.1,116.25,116.75,116.9,116.95,116,117,true
showers,width_cm,2,29.5,29.5,29.05,29.1,29.25,29.75,29.9,29.95,29,30,true
sideboard,depth_cm,44,72.11,47,40,40,40,100,149.8,157,40,157,false
sideboard,height_cm,44,77,74,63,63,74,81,88,92,63,112,false
sideboard,width_cm,44,113.27,145,35,35,38,180,180,180,35,180,false
smallboxes,depth_cm,12,38.42,38,34.55,35,36.5,40.5,42,42.9,34,44,true
smallboxes,height_cm,12,30.67,26.5,11.85,15.7,22,28.75,40,66.65,8,98,true
smallboxes,width_cm,12,35.33,25,23.2,25,25,39,55.2,66.9,21,79,true
soderhamn_system,depth_cm,22,108.41,99,93,93.6,99,138,151,151,6,151,false
soderhamn_system,height_cm,22,69.73,83,39,39,43.25,83,83,83,39,83,false
soderhamn_system,width_cm,22,151,99,93,93,93,186,281.7,291,82,291,false
sofa,depth_cm,130,95.03,94,76,78,88,95,120,151,32,151,false
sofa,height_cm,130,75.11,79.5,44.45,46,69,83,88,89,21,89,false
sofa,width_cm,130,200.31,204,128.9,140,167.25,228,248.4,280,27,360,false
speakers,depth_cm,5,11.6,11,8,8,8,11,16.4,18.2,8,20,true
speakers,height_cm,5,26.4,30,20,20,20,30,31.2,31.6,20,32,true
speakers,width_cm,5,23.3,20,17.2,17.9,20,30,30,30,16.5,30,true
storage,depth_cm,363,44.53,47,26,30,35.8,55,58,58,8,63,false
storage,height_cm,363,119.46,124,11.2,15,25.5,216,236.4,236.4,5,281.1,false
storage,width_cm,363,103.86,80,25,28,40,160,205.6,250,7.4,344,false
stuva_combinations,depth_cm,4,50,50,50,50,50,50,50,50,50,50,true
stuva_combinations,height_cm,4,128,128,73.6,83.2,112,144,172.8,182.4,64,192,true
stuva_combinations,width_cm,4,60,60,60,60,60,60,60,60,60,60,true
stuva_frames,depth_cm,3,50,50,50,50,50,50,50,50,50,50,true
stuva_frames,height_cm,3,128,128,70.4,76.8,96,160,179.2,185.6,64,192,true
stuva_frames,width_cm,3,60,60,60,60,60,60,60,60,60,60,true
table,depth_cm,249,89.86,75,36.8,40,50,120,180,200,16,250,false
table,height_cm,249,62.54,63,31,44.6,48,74,84,101.2,8,185,false
table,width_cm,249,58.92,55,28.4,35,40,76,90,95,10,120,false
tentoys,depth_cm,1,72,72,72,72,72,72,72,72,72,72,true
tentoys,height_cm,1,72,72,72,72,72,72,72,72,72,72,true
