room_category,normalized_category,raw_category,product_name,product_id,width_cm,depth_cm,height_cm,material,image_path,raw_dimension_text
Bedroom,bed,Bed Accessories,Bed Accessories,19229050,180,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/19229050.jpg,Height: 70 cm Mattress length: 200 cm Mattress width: 180 cm
Bedroom,bed,Bed Accessories,Bed Accessories,19261120,90,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/19261120.jpg,Length: 200 cm Width: 90 cm Height: 70 cm Mattress length: 200 cm Mattress width: 90 cm
Bedroom,bed,Bed Accessories,Bed Accessories,39261124,90,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/39261124.jpg,Length: 200 cm Width: 90 cm Height: 80 cm Mattress length: 200 cm Mattress width: 90 cm
Bedroom,bed,Bed Accessories,Bed Accessories,59261118,90,200,70,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/59261118.jpg,Length: 200 cm Width: 90 cm Height: 70 cm Mattress length: 200 cm Mattress width: 90 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09247554,180,214,43,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09247554.jpg,Length: 214 cm Width: 180 cm Height: 43 cm Footboard height: 55 cm Headboard height: 109 cm Free height under furniture: 24 cm Filling weight pillow: 750 g Total weight pillow: 820 g Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09247549,160,214,43,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09247549.jpg,Length: 214 cm Width: 160 cm Height: 43 cm Footboard height: 55 cm Headboard height: 109 cm Free height under furniture: 25 cm Filling weight pillow: 650 g Total weight pillow: 710 g Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,49247566,180,214,43,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/49247566.jpg,Length: 214 cm Width: 180 cm Height: 43 cm Footboard height: 55 cm Headboard height: 109 cm Free height under furniture: 24 cm Filling weight pillow: 750 g Total weight pillow: 820 g Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,60401542,160,214,42,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/60401542.jpg,Length: 214 cm Width: 160 cm Height: 42 cm Footboard height: 55 cm Headboard height: 109 cm Free height under furniture: 25 cm Filling weight pillow: 650 g Total weight pillow: 710 g Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,70395239,144,205,30,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/70395239.jpg,Length: 205 cm Width: 144 cm Footboard height: 30 cm Headboard height: 65 cm Free height under furniture: 20 cm Mattress length: 200 cm Mattress width: 140 cm
Bedroom,bed,Bed Accessories,Bed Accessories,80401541,180,214,43,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/80401541.jpg,Length: 214 cm Width: 180 cm Height: 43 cm Footboard height: 55 cm Headboard height: 109 cm Free height under furniture: 24 cm Filling weight pillow: 750 g Total weight pillow: 820 g Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,90296356,168,210,140,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/90296356.jpg,Length: 210 cm Width: 168 cm Height: 140 cm Footboard height: 44 cm Headboard height: 140 cm Free height under furniture: 20 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,90306379,178,213,97,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/90306379.jpg,Length: 213 cm Width: 178 cm Footboard height: 97 cm Headboard height: 175 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,99210438,180,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/99210438.jpg,Length: 200 cm Width: 180 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,59209941,180,200,20,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/59209941.jpg,Length: 200 cm Width: 180 cm Height: 20 cm
Bedroom,bed,Bed Accessories,Bed Accessories,99229107,160,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/99229107.jpg,Height: 80 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,29229083,160,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/29229083.jpg,Height: 80 cm Mattress length: 200 cm Mattress width: 160 cm
Bedroom,bed,Bed Accessories,Bed Accessories,09229079,180,200,80,,/Users/dahoo/home_easy/datasets/IKEA-Dataset/extracted/Bedroom/Bedroom/Beds/Bed Accessories/09229079.jpg,Height: 80 cm Mattress length: 200 cm Mattress width: 180 cm
